"Accession_Number","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"AABF01000001.40748.42248","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium nucleatum subsp. vincentii ATCC 49256"
"AAEW02000008.189409.190966","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae","Desulfuromonas","Desulfuromonas acetoxidans DSM 684"
"AAOT01000021.1.1840","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicola","Oceanicola granulosus HTCC2516"
"AATP01000006.40686.42147","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Fulvimarina","Fulvimarina pelagi HTCC2506"
"AAVP02000002.246738.248249","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Incertae Sedis","Ruminococcus torques ATCC 27756"
"AAWL01000009.57399.58874","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Thermosinus","Thermosinus carboxydivorans Nor1"
"AAWL01000016.11005.12605","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Thermosinus","Thermosinus carboxydivorans Nor1"
"AAWL01000022.1529.3082","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Thermosinus","Thermosinus carboxydivorans Nor1"
"AAWL01000046.101.1641","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Thermosinus","Thermosinus carboxydivorans Nor1"
"AAWS01000012.387.1834","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Microscilla","Microscilla marina ATCC 23134"
"AAXA02000006.102304.103822","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","Dorea formicigenerans ATCC 27755"
"AAXA02000007.1.1294","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","Dorea formicigenerans ATCC 27755"
"AAXA02000014.354465.355983","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","Dorea formicigenerans ATCC 27755"
"AAXA02000015.452491.454009","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","Dorea formicigenerans ATCC 27755"
"AB000480.1.1326","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Insolitispirillum","Insolitispirillum peregrinum"
"AB002480.1.1312","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae"
"AB002515.1.1332","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus equi"
"AB002519.1.1491","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus alactolyticus"
"AB002524.1.1358","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sanguinis"
"AB002583.17714.19138","Bacteria","Cyanobacteria","Chloroplast","Cyanidioschyzon merolae","","",""
"AB003379.1.1455","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Selenomonas","Selenomonas ruminantium"
"AB003932.1.1476","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia","Kineosporia succinea"
"AB004713.1.1533","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium thalassium"
"AB004717.1.1520","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium keratanolyticum"
"AB004719.1.1407","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium saperdae"
"AB004723.1.1464","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium schleiferi"
"AB004727.1.1503","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium hominis"
"AB004745.1.1449","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","Serratia ficaria"
"AB004749.1.1449","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","Lelliottia amnigena"
"AB004754.1.1441","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","Klebsiella oxytoca"
"AB004876.1.1472","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halococcus","Halococcus saccharolyticus"
"AB005656.1.1474","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Natronorubrum","Natronorubrum tibetense"
"AB006159.1.1414","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces yanii"
"AB006170.1.1487","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Nocardiopsaceae","Thermobifida","Microbispora mesophila"
"AB006178.1.1468","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinoalloteichus","Actinoalloteichus cyanogriseus"
"AB006761.1.1461","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oceanospirillum","Oceanospirillum beijerinckii subsp. pelagicum"
"AB006765.1.1463","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinobacterium","Marinobacterium jannaschii"
"AB006769.1.1456","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinospirillum","Marinospirillum minutulum"
"AB006899.1.1452","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus carotinifaciens"
"AB007418.1.1440","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium aurum"
"AB007908.1.1516","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus delbrueckii"
"AB008206.1.1556","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus crispatus"
"AB008210.1.1552","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus helveticus"
"AB008215.1.1540","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus lactis subsp. lactis"
"AB008391.1.1400","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas leidyi"
"AB008393.1.1252","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas subvibrioides"
"AB008513.1.1214","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas bacteroides"
"AB008801.1.1466","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Caldimonas","Caldimonas manganoxidans"
"AB008926.1.1321","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus dysgalactiae"
"AB009934.1.1493","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus carnosus"
"AAGX01000019.227.1724","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma genitalium G37"
"AALE02000076.1.1270","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Yersinia","Yersinia frederiksenii ATCC 33641"
"AALY01000002.51650.53095","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius","Roseovarius nubinhibens ISM"
"AANC01000011.208.1734","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Leeuwenhoekiella","Leeuwenhoekiella blandensis MED217"
"AAOE01000005.44321.45848","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Reinekea","Reinekea blandensis MED297"
"AAOG01000003.440801.442321","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter irgensii 23-P"
"AAOG01000005.3703.5223","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter irgensii 23-P"
"AAOT01000035.37317.38759","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicola","Oceanicola granulosus HTCC2516"
"AATQ01000003.4201.5642","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pelagibaca","Pelagibaca bermudensis HTCC2601"
"AATQ01000014.95938.97381","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pelagibaca","Pelagibaca bermudensis HTCC2601"
"AATQ01000039.15924.17359","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pelagibaca","Pelagibaca bermudensis HTCC2601"
"AAUW01000002.402366.403828","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Labrenzia","Labrenzia aggregata IAM 12614"
"AAUW01000014.111354.112817","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Labrenzia","Labrenzia aggregata IAM 12614"
"AAUW01000023.1.1610","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Labrenzia","Labrenzia aggregata IAM 12614"
"AAUW01000037.14261.15725","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Labrenzia","Labrenzia aggregata IAM 12614"
"AAVN02000007.3232.4717","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens ATCC 25986"
"AAVN02000013.41003.42488","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens ATCC 25986"
"AAVP02000025.9720.11231","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Incertae Sedis","Ruminococcus torques ATCC 27756"
"AAVP02000040.351.1861","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Incertae Sedis","Ruminococcus torques ATCC 27756"
"AAWS01000090.3014.4461","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Microscilla","Microscilla marina ATCC 23134"
"AB000479.1.1326","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Insolitispirillum","Insolitispirillum peregrinum"
"AB002479.1.1450","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae"
"AB002485.1.1506","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus dysgalactiae"
"AB002523.1.1496","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus porcinus"
"AB002630.1.1514","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia","Colwellia maris"
"AB003931.1.1472","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia","Kineosporia aurantiaca"
"AB004691.1.1449","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","Pantoea agglomerans"
"AB004716.1.1467","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium flavescens"
"AB004718.1.1440","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium luteolum"
"AB004722.1.1463","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium trichothecenolyticum"
"AB004726.1.1482","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium laevaniformans"
"AB004744.1.1422","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","Enterobacter asburiae"
"AB004748.1.1450","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","Pluralibacter gergoviae"
"AB004753.1.1449","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae"
"AB004758.1.1445","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea","Pantoea ananatis"
"AB005296.1.1469","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Thermocladium","Thermocladium modestius"
"AB006156.1.1473","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea","Nonomuraea dietziae"
"AB006169.1.1469","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Virgisporangium","Virgisporangium aurantiacum"
"AB006177.1.1465","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinocorallia","Actinocorallia aurea"
"AB006760.1.1461","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oceanospirillum","Oceanospirillum beijerinckii subsp. beijerinckii"
"AB006764.1.1458","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oceanospirillum","Oceanospirillum multiglobuliferum"
"AB006768.1.1429","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Thalassospira","Terasakiella pusilla"
"AB006851.1.1490","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Mitsuaria","Mitsuaria chitosanitabida"
"AB007421.1.1440","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium arborescens"
"AB008205.1.1561","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus casei"
"AB008209.1.1566","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri"
"AB008214.1.1540","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus lactis subsp. cremoris"
"AB008315.1.1338","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus infantis"
"AB008392.1.1239","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas subvibrioides"
"AB008509.1.1467","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas maltophilia"
"A45315.1.1521","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus sp."
"AABF01000111.2354.3854","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium nucleatum subsp. vincentii ATCC 49256"
"AABW01000001.1044189.1045669","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia","Rickettsia sibirica 246"
"AACK01000032.22604.24125","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus pleuropneumoniae serovar 1 str. 4074"
"AAMO01000005.167902.169347","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicola","Oceanicola batsensis HTCC2597"
"AANZ01000021.102759.104249","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Blastopirellula","Blastopirellula marina DSM 3645"
"AAOE01000002.197017.198545","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Reinekea","Reinekea blandensis MED297"
"AAOE01000012.1429.2957","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Reinekea","Reinekea blandensis MED297"
"AAOT01000056.10759.12201","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicola","Oceanicola granulosus HTCC2516"
"AARG01000010.1.1269","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium nucleatum subsp. polymorphum ATCC 10953"
"AATP01000002.612461.613920","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Fulvimarina","Fulvimarina pelagi HTCC2506"
"AAVN02000009.318.1803","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens ATCC 25986"
"AAWL01000001.136001.137476","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Thermosinus","Thermosinus carboxydivorans Nor1"
"AAWL01000002.225019.226494","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Thermosinus","Thermosinus carboxydivorans Nor1"
"AAWS01000102.3014.4457","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Microscilla","Microscilla marina ATCC 23134"
"AAXA02000016.197379.198897","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","Dorea formicigenerans ATCC 27755"
"AAYA01000001.38603.40031","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sagittula","Sagittula stellata E-37"
"AAYN02000002.147916.149442","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Ureaplasma","Ureaplasma urealyticum serovar 8 str. ATCC 27618"
"AB000390.1.1428","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio halioticoli"
"AB001684.22293.23786","Bacteria","Cyanobacteria","Chloroplast","Chlorella vulgaris","","",""
"AB001783.1.1507","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Chlamydiaceae","Chlamydophila","Chlamydophila abortus"
"AB002483.1.1499","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus canis"
"AB002521.1.1393","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pyogenes"
"AB002526.1.1442","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus uberis"
"AB003624.1.1452","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Roseateles","Roseateles depolymerans"
"AB003935.1.1474","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia","Kineosporia rhamnosa"
"AB004715.1.1447","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium arabinogalactanolyticum"
"AB004721.1.1437","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium terregens"
"AB004725.1.1472","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium chocolatum"
"AB004730.1.1499","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium terpenotabidum"
"AB004747.1.1438","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Kluyvera","Kluyvera intermedia"
"AB004751.1.1442","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","Serratia rubidaea"
"AB004752.1.1438","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella","Serratia liquefaciens"
"AB004756.1.1441","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Raoultella","Raoultella ornithinolytica"
"AB004878.1.1473","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Haloterrigena","Haloterrigena turkmenica"
"AB006155.1.1472","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura","Actinomadura glauciflava"
"AB006167.1.1466","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Virgisporangium","Virgisporangium ochraceum"
"AB006172.1.1474","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura","Actinomadura formosensis"
"AB006176.1.1471","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lentzea","Lentzea albida"
"AB006711.1.1451","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium","Acidiphilium multivorum"
"AB006763.1.1465","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oceanospirillum","Oceanospirillum maris subsp. williamsae"
"AB006767.1.1452","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oceanobacter","Oceanobacter kriegii"
"AB006771.1.1465","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oceanospirillum","Oceanospirillum maris subsp. maris"
"AB007420.1.1409","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus","Kineococcus aurantiacus"
"A16379.1.1485","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus ducreyi"
"AB008203.1.1553","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus acidophilus"
"AABF01000026.18732.20232","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium nucleatum subsp. vincentii ATCC 49256"
"AB008208.1.1532","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gallinarum"
"AALY01000001.1540240.1541685","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius","Roseovarius nubinhibens ISM"
"AB008212.1.1563","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus zeae"
"AAMT01000002.28822.30268","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Maritimibacter","Maritimibacter alkaliphilus HTCC2654"
"AB008314.1.1339","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus peroris"
"AAOE01000034.30.1556","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Reinekea","Reinekea blandensis MED297"
"AB008507.1.1464","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Pseudoxanthomonas japonensis"
"AAOH01000015.31873.33412","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas tunicata D2"
"AB008552.1.1508","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Incertae Sedis","Eubacterium ruminantium"
"AAOT01000030.1.1840","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicola","Oceanicola granulosus HTCC2516"
"AATP01000004.44443.45904","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Fulvimarina","Fulvimarina pelagi HTCC2506"
"AATQ01000003.194546.196142","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pelagibaca","Pelagibaca bermudensis HTCC2601"
"AAVN02000007.139898.141384","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens ATCC 25986"
"AAVP02000029.271.1782","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Incertae Sedis","Ruminococcus torques ATCC 27756"
"AAWL01000045.116.1655","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Thermosinus","Thermosinus carboxydivorans Nor1"
"AAWS01000007.150479.151926","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Microscilla","Microscilla marina ATCC 23134"
"AAXA02000015.760903.762421","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","Dorea formicigenerans ATCC 27755"
"AAYA01000003.321545.322973","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sagittula","Sagittula stellata E-37"
"AAYN02000002.340406.341932","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Ureaplasma","Ureaplasma urealyticum serovar 8 str. ATCC 27618"
"AB000278.1.1410","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium","Photobacterium iliopiscarium"
"AB001778.1.1507","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Chlamydiaceae","Chlamydophila","Chlamydophila psittaci"
"AB002482.1.1457","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus equinus"
"AB002516.1.1450","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus equi"
"AB002520.1.1377","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mitis"
"AB002525.1.1457","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus suis"
"AB003623.1.1452","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Roseateles","Roseateles depolymerans"
"AB003933.1.1432","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia","Kineosporia rhizophila"
"AB004714.1.1483","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium halophilum"
"AB004720.1.1427","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium terrae"
"AB004724.1.1410","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium ketosireducens"
"AB004729.1.1475","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia","Gordonia rhizosphera"
"AB004746.1.1449","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Cronobacter","Cronobacter sakazakii"
"AB004750.1.1438","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","Enterobacter aerogenes"
"AB004755.1.1451","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","Raoultella planticola"
"AB004877.1.1471","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halococcus","Halococcus salifodinae"
"AB005893.1.1549","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus collinoides"
"AB006164.1.1466","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","Sporichthya","Sporichthya brevicatena"
